Player, Debut, Age, Years, Games, Minutes, FG, FGA, FG3, FG3A, FT, FTA, ORB, TRB, AST, STL, BLK, TOV, PF, PTS, FG_PCT, FG3_PCT, FT_PCT, MP_PER_G, PTS_PER_G, TRB_PER_G, AST_PER_G
Nickeil Alexander-Walker,Oct 22  '19  NOP @ TOR,21,1,24,330,53,156,28,83,11,16,4,54,46,9,4,26,28,145,.340,.337,.688,13.8,6.0,2.3,1.9,
RJ Barrett,Oct 23  '19  NYK @ SAS,19,1,27,868,143,360,28,92,70,127,29,144,79,32,12,59,62,384,.397,.304,.551,32.1,14.2,5.3,2.9,
Darius Bazley,Oct 23  '19  OKC @ UTA,19,1,27,440,36,97,15,48,13,20,8,94,12,9,15,24,25,100,.371,.313,.650,16.3,3.7,3.5,0.4,
Goga Bitadze,Oct 26  '19  IND @ CLE,20,1,21,229,27,58,4,14,14,19,17,54,15,1,21,11,36,72,.466,.286,.737,10.9,3.4,2.6,0.7,
Jordan Bone,Nov 4  '19  DET @ WAS,22,1,3,6,2,5,0,1,0,0,0,0,0,0,0,2,2,4,.400,.000,,2.0,1.3,0.0,0.0,
Brian Bowen,Nov 12  '19  IND vs. OKC,21,1,3,10,1,4,0,1,0,0,0,1,0,0,1,0,0,2,.250,.000,,3.3,0.7,0.3,0.0,
Ky Bowman,Oct 24  '19  GSW vs. LAC,22,1,26,596,88,194,27,65,20,22,13,69,70,23,3,31,55,223,.454,.415,.909,22.9,8.6,2.7,2.7,
Jarrell Brantley,Oct 25  '19  UTA @ LAL,23,1,2,9,0,0,0,0,0,0,0,4,1,0,2,1,1,0,,,,4.5,0.0,2.0,0.5,
Ignas Brazdeikis,Nov 3  '19  NYK vs. SAC,21,1,7,47,5,20,1,8,3,4,2,5,2,0,1,2,3,14,.250,.125,.750,6.7,2.0,0.7,0.3,
Oshae Brissett,Nov 18  '19  TOR vs. CHO,21,1,5,18,1,3,1,1,0,0,0,1,1,1,0,2,1,3,.333,1.000,,3.6,0.6,0.2,0.2,
Charlie Brown,Nov 6  '19  ATL vs. CHI,22,1,4,16,1,3,1,1,4,4,2,3,0,0,1,0,0,7,.333,1.000,1.000,4.0,1.8,0.8,0.0,
Moses Brown,Nov 10  '19  POR vs. ATL,20,1,4,15,3,7,0,0,2,4,2,9,0,1,0,1,4,8,.429,,.500,3.8,2.0,2.3,0.0,
Vlatko Čančar,Oct 31  '19  DEN @ NOP,22,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.0,0.0,0.0,0.0,
Zylan Cheatham,Nov 16  '19  NOP @ MIA,24,1,2,20,1,4,0,1,0,0,0,3,1,0,0,1,3,2,.250,.000,,10.0,1.0,1.5,0.5,
Brandon Clarke,Oct 23  '19  MEM @ MIA,23,1,22,478,126,194,13,28,29,36,34,133,25,9,20,23,40,294,.649,.464,.806,21.7,13.4,6.0,1.1,
Nicolas Claxton,Nov 8  '19  BRK @ POR,20,1,9,119,11,21,0,5,5,12,8,22,11,1,5,6,10,27,.524,.000,.417,13.2,3.0,2.4,1.2,
Chris Clemons,Nov 3  '19  HOU @ MIA,22,1,19,162,33,77,24,62,3,4,2,14,6,5,4,8,16,93,.429,.387,.750,8.5,4.9,0.7,0.3,
Tyler Cook,Oct 26  '19  CLE vs. IND,22,1,6,17,5,6,0,0,2,2,3,5,0,1,0,1,1,12,.833,,1.000,2.8,2.0,0.8,0.0,
Jarrett Culver,Oct 23  '19  MIN @ BRK,20,1,25,582,85,229,23,92,23,53,27,83,55,21,12,31,51,216,.371,.250,.434,23.3,8.6,3.3,2.2,
Terence Davis,Oct 22  '19  TOR vs. NOP,22,1,27,419,62,135,28,71,18,19,15,73,51,12,6,23,45,170,.459,.394,.947,15.5,6.3,2.7,1.9,
Luguentz Dort,Dec 6  '19  OKC vs. MIN,20,1,5,81,5,16,0,9,3,5,0,7,2,2,0,2,12,13,.313,.000,.600,16.2,2.6,1.4,0.4,
Sekou Doumbouya,Nov 23  '19  DET @ MIL,19,1,4,11,3,6,0,1,0,1,0,2,0,0,0,0,3,6,.500,.000,.000,2.8,1.5,0.5,0.0,
Carsen Edwards,Oct 23  '19  BOS @ PHI,21,1,21,236,27,84,17,51,11,13,5,36,17,7,2,12,22,82,.321,.333,.846,11.2,3.9,1.7,0.8,
Tacko Fall,Oct 26  '19  BOS @ NYK,24,1,1,4,2,4,0,0,0,0,0,3,0,0,0,1,2,4,.500,,,4.0,4.0,3.0,0.0,
Bruno Fernando,Oct 24  '19  ATL @ DET,21,1,27,307,41,77,4,16,18,27,28,78,27,6,9,23,40,104,.532,.250,.667,11.4,3.9,2.9,1.0,
Wenyen Gabriel,Oct 23  '19  SAC @ PHO,22,1,7,47,5,16,1,8,5,9,4,8,3,2,2,3,6,16,.313,.125,.556,6.7,2.3,1.1,0.4,
Daniel Gafford,Oct 26  '19  CHI vs. TOR,21,1,20,212,37,50,0,0,10,21,14,32,5,1,22,3,33,84,.740,,.476,10.6,4.2,1.6,0.3,
Darius Garland,Oct 23  '19  CLE @ ORL,20,1,28,790,116,304,49,135,25,29,11,53,87,18,0,71,37,306,.382,.363,.862,28.2,10.9,1.9,3.1,
Javonte Green,Oct 25  '19  BOS vs. TOR,26,1,19,134,22,37,3,11,2,5,3,20,5,4,3,4,14,49,.595,.273,.400,7.1,2.6,1.1,0.3,
Marko Guduric,Oct 23  '19  MEM @ MIA,24,1,26,382,47,126,18,64,15,17,12,53,36,9,6,28,25,127,.373,.281,.882,14.7,4.9,2.0,1.4,
Rui Hachimura,Oct 23  '19  WAS @ DAL,21,1,25,729,146,303,10,48,46,54,39,145,40,18,3,20,57,348,.482,.208,.852,29.2,13.9,5.8,1.6,
Devon Hall,Nov 12  '19  OKC @ IND,24,1,5,20,1,5,0,2,3,4,0,1,3,0,0,1,1,5,.200,.000,.750,4.0,1.0,0.2,0.6,
Jared Harper,Oct 23  '19  PHO vs. SAC,22,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.000,.000,,2.0,0.0,0.0,0.0,
Jaxson Hayes,Oct 28  '19  NOP vs. GSW,19,1,26,556,88,139,1,4,58,90,49,125,21,19,27,21,82,235,.633,.250,.644,21.4,9.0,4.8,0.8,
Dewan Hernandez,Nov 18  '19  TOR vs. CHO,23,1,4,11,1,5,0,1,2,2,2,7,0,1,0,1,6,4,.200,.000,1.000,2.8,1.0,1.8,0.0,
Tyler Herro,Oct 23  '19  MIA vs. MEM,20,1,27,785,135,324,54,144,53,61,8,111,58,20,3,50,35,377,.417,.375,.869,29.1,14.0,4.1,2.1,
Jaylen Hoard,Nov 10  '19  POR vs. ATL,20,1,5,18,3,6,0,0,1,2,3,7,2,1,0,0,1,7,.500,,.500,3.6,1.4,1.4,0.4,
Talen Horton-Tucker,Dec 8  '19  LAL vs. MIN,19,1,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,.000,.000,,2.0,0.0,0.0,1.0,
De'Andre Hunter,Oct 24  '19  ATL @ DET,22,1,27,862,124,310,46,135,54,70,14,110,53,18,8,44,73,348,.400,.341,.771,31.9,12.9,4.1,2.0,
Justin James,Oct 25  '19  SAC vs. POR,23,1,12,143,18,44,3,14,1,6,2,20,9,4,6,5,12,40,.409,.214,.167,11.9,3.3,1.7,0.8,
DaQuan Jeffries,Nov 15  '19  SAC @ LAL,22,1,2,11,1,1,0,0,0,0,1,1,1,0,0,0,1,2,1.000,,,5.5,1.0,0.5,0.5,
Ty Jerome,Dec 2  '19  PHO @ CHO,22,1,7,96,10,34,4,13,3,3,0,11,16,11,0,7,10,27,.294,.308,1.000,13.7,3.9,1.6,2.3,
Cameron Johnson,Oct 26  '19  PHO vs. LAC,23,1,24,507,78,176,49,119,20,24,24,76,24,14,7,17,40,225,.443,.412,.833,21.1,9.4,3.2,1.0,
Keldon Johnson,Nov 22  '19  SAS @ PHI,20,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,2.0,0.0,0.0,0.0,
Mfiondu Kabengele,Oct 24  '19  LAC @ GSW,22,1,9,38,8,19,5,11,3,3,1,7,1,1,1,1,4,24,.421,.455,1.000,4.2,2.7,0.8,0.1,
Stanton Kidd,Oct 25  '19  UTA @ LAL,27,1,4,15,0,3,0,1,0,0,0,3,1,0,0,2,3,0,.000,.000,,3.8,0.0,0.8,0.3,
John Konchar,Nov 9  '19  MEM vs. DAL,23,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,7.0,0.0,0.0,0.0,
Romeo Langford,Oct 30  '19  BOS vs. MIL,20,1,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,2.5,0.0,0.0,0.5,
Nassir Little,Oct 25  '19  POR @ SAC,19,1,18,270,31,76,5,30,15,22,20,62,12,8,7,9,35,82,.408,.167,.682,15.0,4.6,3.4,0.7,
Terance Mann,Oct 24  '19  LAC @ GSW,23,1,22,203,21,42,2,9,8,10,3,25,28,6,3,12,26,52,.500,.222,.800,9.2,2.4,1.1,1.3,
Caleb Martin,Oct 25  '19  CHO vs. MIN,24,1,5,32,3,10,0,3,3,5,1,5,3,1,2,3,3,9,.300,.000,.600,6.4,1.8,1.0,0.6,
Cody Martin,Oct 25  '19  CHO vs. MIN,24,1,22,313,26,66,5,27,21,31,11,56,30,18,3,13,29,78,.394,.185,.677,14.2,3.5,2.5,1.4,
Kelan Martin,Oct 25  '19  MIN @ CHO,24,1,9,123,15,44,5,24,0,0,2,26,3,1,1,4,20,35,.341,.208,,13.7,3.9,2.9,0.3,
Garrison Mathews,Oct 23  '19  WAS @ DAL,23,1,5,42,3,8,2,7,4,4,1,6,2,0,0,2,6,12,.375,.286,1.000,8.4,2.4,1.2,0.4,
Jalen McDaniels,Oct 25  '19  CHO vs. MIN,22,1,2,7,2,5,0,1,0,0,1,1,0,0,0,0,0,4,.400,.000,,3.5,2.0,0.5,0.0,
Jordan McLaughlin,Nov 6  '19  MIN @ MEM,23,1,4,57,4,15,1,8,2,2,1,7,8,1,0,4,4,11,.267,.125,1.000,14.3,2.8,1.8,2.0,
Nicolò Melli,Oct 22  '19  NOP @ TOR,29,1,24,360,41,104,22,72,21,26,14,60,26,14,4,18,44,125,.394,.306,.808,15.0,5.2,2.5,1.1,
Ja Morant,Oct 23  '19  MEM @ MIA,20,1,22,645,153,322,23,52,87,110,16,70,144,28,6,70,38,416,.475,.442,.791,29.3,18.9,3.2,6.5,
Juwan Morgan,Nov 27  '19  UTA @ IND,22,1,3,9,0,0,0,0,0,0,0,2,0,0,0,1,1,0,,,,3.0,0.0,0.7,0.0,
Zach Norvell,Oct 25  '19  LAL vs. UTA,22,1,2,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,.000,,,2.5,0.0,0.5,0.0,
Jaylen Nowell,Nov 6  '19  MIN @ MEM,20,1,2,15,1,4,0,3,1,1,0,1,3,0,0,1,1,3,.250,.000,1.000,7.5,1.5,0.5,1.5,
Kendrick Nunn,Oct 23  '19  MIA vs. MEM,24,1,28,874,183,404,61,169,35,44,9,78,101,29,7,58,70,462,.453,.361,.795,31.2,16.5,2.8,3.6,
KZ Okpala,Oct 23  '19  MIA vs. MEM,20,1,3,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,1.0,0.0,0.3,0.0,
Miye Oni,Nov 11  '19  UTA @ GSW,22,1,3,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,2.7,0.0,0.3,0.0,
Eric Paschall,Oct 24  '19  GSW vs. LAC,23,1,26,790,154,312,18,63,88,109,37,130,44,10,9,41,52,414,.494,.286,.807,30.4,15.9,5.0,1.7,
Norvel Pelle,Nov 29  '19  PHI @ NYK,26,1,4,57,6,8,0,0,4,6,4,19,4,0,9,6,12,16,.750,,.667,14.3,4.0,4.8,1.0,
Vincent Poirier,Oct 26  '19  BOS @ NYK,26,1,9,44,7,14,0,0,1,2,8,15,3,2,2,3,10,15,.500,,.500,4.9,1.7,1.7,0.3,
Shamorie Ponds,Nov 27  '19  TOR vs. NYK,21,1,3,9,2,4,0,1,0,0,0,1,2,0,1,0,2,4,.500,.000,,3.0,1.3,0.3,0.7,
Jordan Poole,Oct 24  '19  GSW vs. LAC,20,1,27,611,62,242,31,129,45,54,4,54,53,17,6,30,47,200,.256,.240,.833,22.6,7.4,2.0,2.0,
Kevin Porter,Oct 23  '19  CLE @ ORL,19,1,27,569,80,186,23,72,30,40,10,78,54,24,5,41,67,213,.430,.319,.750,21.1,7.9,2.9,2.0,
Michael Porter,Oct 31  '19  DEN @ NOP,21,1,17,151,31,69,7,22,8,11,16,47,7,1,6,12,18,77,.449,.318,.727,8.9,4.5,2.8,0.4,
Cam Reddish,Oct 24  '19  ATL @ DET,20,1,25,635,73,224,27,101,39,53,18,99,37,21,10,46,49,212,.326,.267,.736,25.4,8.5,4.0,1.5,
Naz Reid,Dec 8  '19  MIN @ LAL,20,1,2,4,1,2,1,2,0,0,0,1,0,0,0,0,1,3,.500,.500,,2.0,1.5,0.5,0.0,
Justin Robinson,Oct 23  '19  WAS @ DAL,22,1,6,20,3,6,1,1,0,0,1,3,3,0,0,2,0,7,.500,1.000,,3.3,1.2,0.5,0.5,
Admiral Schofield,Oct 23  '19  WAS @ DAL,22,1,13,135,18,36,9,24,5,6,3,19,7,4,1,3,18,50,.500,.375,.833,10.4,3.8,1.5,0.5,
Chris Silva,Oct 23  '19  MIA vs. MEM,23,1,24,225,32,48,0,2,26,36,41,86,13,5,15,26,59,90,.667,.000,.722,9.4,3.8,3.6,0.5,
Max Strus,Nov 22  '19  CHI vs. MIA,23,1,2,6,2,3,0,1,1,1,1,1,0,0,0,0,1,5,.667,.000,1.000,3.0,2.5,0.5,0.0,
Matt Thomas,Oct 26  '19  TOR @ CHI,25,1,12,136,20,37,14,26,3,5,1,13,4,4,0,4,12,57,.541,.538,.600,11.3,4.8,1.1,0.3,
Matisse Thybulle,Oct 23  '19  PHI vs. BOS,22,1,28,499,46,104,29,62,15,22,8,32,37,42,20,28,59,136,.442,.468,.682,17.8,4.9,1.1,1.3,
Dean Wade,Nov 18  '19  CLE @ NYK,23,1,3,18,1,2,1,1,0,0,0,2,0,1,0,0,3,3,.500,1.000,,6.0,1.0,0.7,0.0,
PJ Washington,Oct 23  '19  CHO vs. CHI,21,1,28,823,127,264,39,96,50,71,26,147,49,28,26,38,78,343,.481,.406,.704,29.4,12.3,5.3,1.8,
Tremont Waters,Nov 25  '19  BOS vs. SAC,22,1,1,20,2,7,1,5,2,2,0,2,3,1,2,2,2,7,.286,.200,1.000,20.0,7.0,2.0,3.0,
Coby White,Oct 23  '19  CHI @ CHO,19,1,30,728,118,338,53,165,38,48,8,105,73,23,2,42,40,327,.349,.321,.792,24.3,10.9,3.5,2.4,
Grant Williams,Oct 23  '19  BOS @ PHI,21,1,23,333,17,65,2,29,16,19,15,51,19,9,12,18,46,52,.262,.069,.842,14.5,2.3,2.2,0.8,
Nigel Williams-Goss,Oct 25  '19  UTA @ LAL,25,1,7,22,0,5,0,1,2,2,1,2,2,0,1,1,1,2,.000,.000,1.000,3.1,0.3,0.3,0.3,
